[2026-04-12T10:36:56-04:00] Clear uploads executed | {"deleted_images":1,"deleted_audio":0,"deleted_logs":1,"errors":[]}
[2026-04-12T12:52:50-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:51-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:51-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:55-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:52:55-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:53:14-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:53:20-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:53:20-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:53:22-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:53:26-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:53:26-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:04:17-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776013456246"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:04:17-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio","_ts":"1776013456246"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:04:27-04:00] Incoming request | {"method":"POST","action":"delete_question_type","get":{"action":"delete_question_type"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:04:30-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:06:19-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:07:09-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T13:18:21-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image","_ts":"1776014300596"},"post_keys":[],"files_keys":[]}
